time: 2009000000
10 1 1
10 2 1
10 3 1
10 4 1
10 5 1
10 6 1
11 1 1
11 2 1
11 3 1
11 4 1
11 5 1
11 6 1
time: 2010000000
10 1 10001
10 2 10001
10 3 10001
10 4 10001
10 5 10001
10 6 10001
11 1 10001
11 2 10001
11 3 10001
11 4 10001
11 5 10001
11 6 10001
time: 2011000000
10 1 20001
10 2 20001
10 3 20001
10 4 20001
10 5 20001
10 6 20001
11 1 20001
11 2 20001
11 3 20001
11 4 20001
11 5 20001
11 6 20001
time: 2012000000
10 1 30001
10 2 30001
10 3 30001
10 4 30001
10 5 30001
10 6 30001
11 1 30001
11 2 30001
11 3 30001
11 4 30001
11 5 30001
11 6 30001
time: 2013000000
10 1 40001
10 2 40001
10 3 40001
10 4 40001
10 5 40001
10 6 40001
11 1 40001
11 2 40001
11 3 40001
11 4 40001
11 5 40001
11 6 40001
time: 2014000000
10 1 50001
10 2 50001
10 3 50001
10 4 50001
10 5 50001
10 6 50001
11 1 50001
11 2 50001
11 3 50001
11 4 50001
11 5 50001
11 6 50001
