time: 2009000000
8 1 1
8 2 1
8 3 1
8 4 1
8 5 1
9 1 1
9 2 1
9 3 1
9 4 1
9 5 1
time: 2010000000
8 1 10001
8 2 10001
8 3 10001
8 4 10001
8 5 10001
9 1 10001
9 2 10001
9 3 10001
9 4 10001
9 5 10001
time: 2011000000
8 1 20001
8 2 20001
8 3 20001
8 4 20001
8 5 20001
9 1 20001
9 2 20001
9 3 20001
9 4 20001
9 5 20001
time: 2012000000
8 1 30001
8 2 30001
8 3 30001
8 4 30001
8 5 30001
9 1 30001
9 2 30001
9 3 30001
9 4 30001
9 5 30001
time: 2013000000
8 1 40001
8 2 40001
8 3 40001
8 4 40001
8 5 40001
9 1 40001
9 2 40001
9 3 40001
9 4 40001
9 5 40001
time: 2014000000
8 1 50001
8 2 50001
8 3 50001
8 4 50001
8 5 50001
9 1 50001
9 2 50001
9 3 50001
9 4 50001
9 5 50001
