time: 2000000000
92 1 1
92 2 1
92 3 1
92 4 1
92 5 1
92 6 1
92 7 1
92 8 1
92 9 1
92 10 1
92 11 1
92 12 1
92 13 1
92 14 1
92 15 1
92 16 1
92 17 1
92 18 1
92 19 1
92 20 1
92 21 1
92 22 1
92 23 1
92 24 1
92 25 1
92 26 1
92 27 1
92 28 1
92 29 1
92 30 1
92 31 1
92 32 1
92 33 1
92 34 1
92 35 1
92 36 1
92 37 1
92 38 1
92 39 1
92 40 1
92 41 1
92 42 1
92 43 1
92 44 1
92 45 1
92 46 1
92 47 1
93 1 1
93 2 1
93 3 1
93 4 1
93 5 1
93 6 1
93 7 1
93 8 1
93 9 1
93 10 1
93 11 1
93 12 1
93 13 1
93 14 1
93 15 1
93 16 1
93 17 1
93 18 1
93 19 1
93 20 1
93 21 1
93 22 1
93 23 1
93 24 1
93 25 1
93 26 1
93 27 1
93 28 1
93 29 1
93 30 1
93 31 1
93 32 1
93 33 1
93 34 1
93 35 1
93 36 1
93 37 1
93 38 1
93 39 1
93 40 1
93 41 1
93 42 1
93 43 1
93 44 1
93 45 1
93 46 1
93 47 1
